time, S_all, I_all, R_all, IR_all, S_c, S_a, S_e, I_c, I_a, I_e, R_c, R_a, R_e
109.10000000000001, 127442112.43736786, 0.04825095261177477, 1380.51438117422, 0.21333584693329835, 15758411.5838649, 76498957.87514912, 35184742.978353836, 0.0004342635622540255, 0.03039812779773747, 0.017418561251783277, 12.415700836775011, 870.0944527470836, 498.0042275903615
109.2, 127442112.43686673, 0.04774982722730104, 1380.515383412679, 0.21112523119586904, 15758411.58386039, 76498957.8748334, 35184742.978172936, 0.0004297533820127262, 0.030082418517898953, 0.017237655327389363, 12.415709857024764, 870.095084157887, 498.0045893977672
109.30000000000001, 127442112.43637085, 0.047253923544464144, 1380.516375207863, 0.20893751753300732, 15758411.583855925, 76498957.874521, 35184742.97799391, 0.00042529019762507786, 0.029769998913097735, 0.017058634433741327, 12.415718783283962, 870.0957089894213, 498.00494743515765
109.4, 127442112.43588012, 0.04676319409845759, 1380.5173566547003, 0.20677246843664104, 15758411.583851509, 76498957.87421185, 35184742.97781677, 0.0004208735819029322, 0.029460839080478293, 0.016881481436076366, 12.415727616406972, 870.0963273014912, 498.005301736802
109.5, 127442112.43539453, 0.046277591424474705, 1380.5183278481195, 0.20462984890338476, 15758411.583847139, 76498957.87390593, 35184742.97764147, 0.00041650310765813884, 0.02915490911718495, 0.01670617919963162, 12.41573635724816, 870.0969391539019, 498.0056523369694
109.60000000000001, 127442112.43491402, 0.045797068057708806, 1380.519288883049, 0.20250942640870523, 15758411.583842814, 76498957.8736032, 35184742.97746801, 0.00041217834770254777, 0.028852179120362045, 0.01653271058964421, 12.415745006661892, 870.0975446064583, 498.00599926992885
109.7, 127442112.43443856, 0.04532157653335339, 1380.5202398544175, 0.20041097088105528, 15758411.583838535, 76498957.87330365, 35184742.97729636, 0.0004078988748480104, 0.02855261918715404, 0.016361058471351345, 12.415753565502532, 870.0981437189653, 498.00634256994954
109.80000000000001, 127442112.43396805, 0.04485106938660173, 1380.521180857153, 0.19833425467598795, 15758411.5838343, 76498957.87300724, 35184742.97712651, 0.000403664261906376, 0.02825619941470523, 0.016191205709990126, 12.415762034624448, 870.098736551228, 498.0066822713005
109.9, 127442112.43350248, 0.044385499152647334, 1380.5221119861842, 0.19627905255025987, 15758411.58383011, 76498957.87271394, 35184742.97695844, 0.00039947408168949624, 0.027962889900160076, 0.01602313517079776, 12.415770414882005, 870.0993231630513, 498.007018408251
110.0, 127442112.43304181, 0.04392481836668351, 1380.5230333364398, 0.1942451416359303, 15758411.583825964, 76498957.87242371, 35184742.97679214, 0.00039532790700922077, 0.027672660740662908, 0.015856829719011374, 12.415778707129567, 870.0999036142401, 498.00735101506996
110.10000000000001, 127442112.43258598, 0.043468979563903574, 1380.5239450028475, 0.19223230141446598, 15758411.583821861, 76498957.87213653, 35184742.97662759, 0.0003912253106773994, 0.027385482033358072, 0.015692272219868103, 12.415786912221503, 870.1004779645995, 498.0076801260265
110.2, 127442112.43213494, 0.043017935279501054, 1380.5248470803365, 0.1902403136908631, 15758411.583817802, 76498957.87185238, 35184742.97646476, 0.00038716586550588384, 0.02710132387539002, 0.015529445538605146, 12.415795031012175, 870.1010462739345, 498.0080057753899
110.30000000000001, 127442112.43168867, 0.04257163804866919, 1380.5257396638349, 0.18826896256779155, 15758411.583813787, 76498957.87157123, 35184742.97630365, 0.0003831491443065233, 0.02682015636390305, 0.015368332540459611, 12.415803064355952, 870.10160860205, 498.0083279974291
110.4, 127442112.43124707, 0.042130040406601496, 1380.5266228482712, 0.18631803441978206, 15758411.583809812, 76498957.87129302, 35184742.97614424, 0.00037917471989116916, 0.026541949596041624, 0.015208916090668701, 12.4158110131072, 870.1021650087508, 498.0086468264132
110.5, 127442112.43081014, 0.041693094888491294, 1380.527496728574, 0.1843873178674601, 15758411.58380588, 76498957.87101775, 35184742.97598651, 0.0003752421650716713, 0.026266673668950077, 0.015051179054469545, 12.415818878120284, 870.1027155538424, 498.0089622966114
110.60000000000001, 127442112.43037781, 0.0412607540295319, 1380.5283613996714, 0.1824766037518471, 15758411.583801989, 76498957.87074539, 35184742.975830436, 0.0003713510526598796, 0.025994298679772748, 0.014895104297099277, 12.415826660249568, 870.1032602971292, 498.0092744422928
110.7, 127442112.42995004, 0.04083297036491683, 1380.5292169564923, 0.18058568510874418, 15758411.583798138, 76498957.87047589, 35184742.975676015, 0.00036750095546764564, 0.025724794725654088, 0.014740674683795092, 12.41583436034942, 870.1037992984164, 498.0095832977264
110.80000000000001, 127442112.42952678, 0.040409696429839326, 1380.5300634939647, 0.17871435714321257, 15758411.58379433, 76498957.87020923, 35184742.97552321, 0.0003636914463068186, 0.0254581319037384, 0.014587873079794107, 12.415841979274207, 870.1043326175092, 498.0098888971814
110.9, 127442112.42910798, 0.0399908847594929, 1380.5309011070174, 0.17686241720417295, 15758411.58379056, 76498957.86994539, 35184742.97537203, 0.0003599220979892499, 0.02519428031117014, 0.014436682350333513, 12.415849517878291, 870.1048603142123, 498.01019127492685
111.0, 127442112.42869359, 0.03957648788907088, 1380.5317298905784, 0.17502966475914467, 15758411.58378683, 76498957.86968432, 35184742.97522243, 0.0003561924833267895, 0.024933210045093645, 0.014287085360650448, 12.41585697701604, 870.1053824483306, 498.0104904652319
111.10000000000001, 127442112.42828357, 0.0391664583537666, 1380.532549939577, 0.17321590136914106, 15758411.58378314, 76498957.86942601, 35184742.97507442, 0.0003525021751312873, 0.02467489120265326, 0.014139064975982048, 12.415864357541821, 870.1058990796694, 498.01078650236565
111.2, 127442112.42787787, 0.03876074868877353, 1380.5333613489406, 0.17142093066375216, 15758411.583779488, 76498957.86917043, 35184742.97492796, 0.0003488507462145945, 0.024419293880993433, 0.013992604061565501, 12.415871660309996, 870.1064102680334, 498.0110794205972
111.30000000000001, 127442112.42747645, 0.038359311429284955, 1380.5341642135982, 0.16964455831642863, 15758411.583775876, 76498957.86891752, 35184742.97478305, 0.0003452377693885608, 0.024166388177258465, 0.013847685482637926, 12.415878886174935, 870.1069160732277, 498.01136925419564
111.4, 127442112.42707925, 0.03796209911049436, 1380.5349586284783, 0.16788659202000095, 15758411.5837723, 76498957.86866729, 35184742.974639654, 0.00034166281746503746, 0.023916144188592812, 0.013704292104436517, 12.415886035991003, 870.1074165550573, 498.01165603743004
111.5, 127442112.4266862, 0.0375690642675951, 1380.5357446885093, 0.16614684146244785, 15758411.583768763, 76498957.86841968, 35184742.97449777, 0.0003381254632558743, 0.023668532012140815, 0.013562406792198407, 12.415893110612565, 870.1079117733271, 498.0119398045696
111.60000000000001, 127442112.42629732, 0.037180159435780465, 1380.5365224886195, 0.16442511830294781, 15758411.583765263, 76498957.86817467, 35184742.97435738, 0.00033462527957292114, 0.02342352174504681, 0.013422012411160733, 12.415900110893986, 870.1084017878421, 498.0122205898833
111.7, 127442112.4259125, 0.036795337150243974, 1380.5372921237374, 0.16272123614823167, 15758411.5837618, 76498957.86793225, 35184742.974218465, 0.00033116183922802964, 0.023181083484455252, 0.01328309182656069, 12.415907037689632, 870.1088866584074, 498.0124984276404
111.80000000000001, 127442112.42553172, 0.03641454994617888, 1380.5380536887915, 0.1610350105292598, 15758411.583758373, 76498957.86769235, 35184742.974081, 0.000327734715033049, 0.022941187327510444, 0.01314562790363539, 12.41591389185387, 870.1093664448277, 498.0127733521099
111.9, 127442112.42515495, 0.036037750358778695, 1380.5388072787102, 0.1593662588782486, 15758411.583754981, 76498957.86745498, 35184742.973944984, 0.00032434347979983067, 0.02270380337135684, 0.013009603507622028, 12.415920674241066, 870.1098412069083, 498.0130453975609
112.0, 127442112.42478207, 0.035664890923236735, 1380.539552988422, 0.1577148005060659, 15758411.583751626, 76498957.86722007, 35184742.97381038, 0.0003209877063402245, 0.022468901713138773, 0.01287500150375774, 12.415927385705585, 870.1103110044538, 498.0133145982626
112.10000000000001, 127442112.42441313, 0.035295924174746335, 1380.5402909128554, 0.1560804565800111, 15758411.583748305, 76498957.86698763, 35184742.97367719, 0.0003176669674660804, 0.022236452450000593, 0.012741804757279658, 12.415934027101793, 870.1107758972696, 498.01358098848397
112.2, 127442112.42404802, 0.03493080264850097, 1380.5410211469386, 0.1544630501020054, 15758411.58374502, 76498957.86675762, 35184742.97354539, 0.0003143808359892498, 0.02200642567908674, 0.012609996133424978, 12.415940599284054, 870.1112359451604, 498.0138446024942
