date,reporting coverage=1    ,reporting coverage=0.5  ,reporting coverage=0.25 ,reporting coverage=0.125
2021-04-12,0.27757571428571437,0.2805757142857144,0.2904157142857143,0.3132757142857143
2021-04-13,0.2788857142857143,0.28187857142857137,0.2917071428571427,0.3145357142857142
2021-04-14,0.2674857142857142,0.2704985714285713,0.280372857142857,0.3033157142857142
2021-04-15,0.2669042857142857,0.2699342857142857,0.27984285714285706,0.3028742857142857
2021-04-16,0.26821428571428574,0.2712371428571428,0.2811342857142856,0.3041342857142857
2021-04-17,0.2786771428571428,0.2816757142857142,0.29152714285714276,0.3144071428571428
2021-04-18,0.28628285714285717,0.28925714285714293,0.2990628571428572,0.32182285714285724
2021-04-19,0.27986857142857136,0.2828528571428571,0.2926814285714285,0.3154985714285714
2021-04-20,0.2811785714285714,0.28415571428571423,0.29397285714285704,0.3167585714285714
2021-04-21,0.29435142857142865,0.29727714285714296,0.3069914285714286,0.3295114285714286
2021-04-22,0.28863714285714287,0.2915628571428572,0.3012771428571428,0.32379714285714284
