date,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/3/14,53.50066357000664,114.57664233576642,310.43010395930105,196.8003760230038,189.69851802698517,183.70139349701392,126.88652952886531,131.30546339305462,91.85069674850696,28.24961291749613,1427
2021/3/15,57.51227604512276,123.16788321167883,333.70692324706926,211.55695642556958,203.92258349922585,197.4757796947578,136.40079628400798,141.1510727715107,98.7378898473789,30.367838973678392,1534
2021/3/16,63.77339084273391,136.57664233576642,370.0361645653617,234.58825481088257,226.1227604512276,218.9741207697412,151.25016589250166,156.51758460517584,109.4870603848706,33.67385534173855,1701
2021/3/17,64.19359476080186,142.88251737081703,428.4996406037856,255.5910869738839,268.16356521044645,239.61664403801612,165.36506668796423,154.4196150467215,96.43830364986822,36.82996565769507,1852
2021/3/18,66.30796262279371,147.58869099912147,442.6132896733488,264.00958389904963,276.9961664403802,247.508984905359,170.81175624950083,159.50579027234247,99.61472725820622,38.04304767989777,1913
2021/3/19,67.38247743790433,149.98035300694832,449.7857998562415,268.2878364347896,281.4848654260842,251.5198466576152,173.5797460266752,162.0905678460187,101.22897532145994,38.659531986263076,1944
2021/3/20,67.90240396134494,151.13760881718713,453.2563692995767,270.35795862950243,283.65681654819906,253.46058621515851,174.91909591885633,163.34126667199106,102.01006309400208,38.95783084418177,1959
2021/3/21,71.05662487021804,158.15829406596916,474.3111572558102,282.916699944094,296.83332002236244,265.23440619758804,183.0444852647552,170.92883954955676,106.74866224742432,40.76751058222187,2050
2021/3/22,76.84514016452361,171.04240875329447,512.9501637249421,305.96406037856406,321.0143758485744,286.84130660490376,197.95591406437185,184.85328647871577,115.4447727817267,44.088571200383356,2217
2021/3/23,83.67350850571042,186.24103506109736,558.5303090807444,333.1516652024599,349.5393339190161,312.3296861273061,215.54604264835078,201.27913105981952,125.70305886111332,48.006229534382236,2414
2021/3/24,87.43237943501441,212.47533549849868,707.1114038850419,409.15748514002087,379.6877259636007,343.0540474293768,204.9857834426129,170.79435014400391,106.31907592376984,35.98241313805993,2657
2021/3/25,89.43967154850175,217.35339175194557,723.3454255775476,418.5510141552791,388.40468165941536,350.9299589435627,209.6918928855935,174.7154850174643,108.75997303756357,36.80850542312642,2718
2021/3/26,86.93878301366506,211.27581346896255,703.1194313377044,406.84760095594095,377.54421226790856,341.11734787670815,203.82854341565047,169.83013665053005,105.71885532201728,35.779275690912435,2642
2021/3/27,86.93878301366506,211.27581346896255,703.1194313377044,406.84760095594095,377.54421226790856,341.11734787670815,203.82854341565047,169.83013665053005,105.71885532201728,35.779275690912435,2642
2021/3/28,87.92597585636375,213.6748575280348,711.1033764323794,411.4673693241008,381.8312396592928,344.99074698204544,206.14302346957535,171.75856363747778,106.9192965255224,36.18555058520742,2672
2021/3/29,91.94056008333845,223.4309700349286,743.5714198173907,430.25442735461735,399.2651510509222,360.7425700104173,215.5552423555365,179.60083338439856,111.80109075310988,37.8377351553404,2794
2021/3/30,97.92952999571052,237.9851706599669,792.007353391752,458.28102212145353,425.27311722532016,384.2411912494638,229.5964213493474,191.29995710521476,119.08376738770758,40.30246951406336,2976
2021/3/31,102.77456284416965,255.0664187035069,770.7344217949956,462.70993140759344,472.2842720510096,423.6645734711622,226.94179306347212,207.79311177663996,133.14317457250507,41.88774031494542,3097
2021/4/1,105.29663800598976,261.32571732199784,789.648149937204,474.06477635011106,483.87407013815096,434.0612501207613,232.51091681963095,212.89232924355136,136.41049173992852,42.915660322674135,3173
2021/4/2,104.30108202106076,258.8549415515409,782.1822046179112,469.58260071490673,479.29914984059513,429.957298811709,230.3125784948314,210.87948024345474,135.12076127910348,42.509902424886484,3143
2021/4/3,103.80330402859627,257.6195536663124,778.4492319582648,467.3415128973046,477.01168969181725,427.90532315718286,229.21340933243164,209.87305574340644,134.47589604869094,42.30702347599266,3128
2021/4/4,109.34523234470099,271.37353878852286,820.0096609023283,492.292290599942,502.4787460148778,450.7506521109072,241.45082600714906,221.07791517727756,141.65539561395033,44.565742440343925,3295
2021/4/5,118.40479180755483,293.8575982996812,887.9497633078929,533.0800888803014,544.1105207226356,488.0966090232828,261.45570476282484,239.3948410781567,153.3919428074582,48.258139310211575,3568
2021/4/6,132.0107236015844,327.624867162593,989.9843493382282,594.3364892280939,606.634431455898,544.1839435803304,291.4996618684185,266.90377741281037,171.01825910540046,53.803497246642834,3978
2021/4/7,168.77700440197148,372.6162760073742,965.1685917453628,637.8145152187817,653.5925354603257,573.586816659769,346.63832348846836,268.54509198991684,184.236276759848,65.02456826818165,4236
2021/4/8,177.86131908649685,392.6721095601791,1017.1181760036119,672.1444749614357,688.7717370856691,604.4597614658189,365.29591030512813,282.99936039730613,194.15267692539223,68.52447420896196,4464
2021/4/9,176.6660145227435,390.03318409270474,1010.2827043906843,667.627374995297,684.1428947665449,600.3975318860755,362.8409646713571,281.09748297528125,192.8478874299259,68.0639602693856,4434
2021/4/10,175.43086647353172,387.30629444298125,1003.2193837239926,662.9597050302871,679.35975770345,596.1998946536739,360.3041875164604,279.13220963918883,191.49960495127735,67.5880958651567,4403
2021/4/11,171.80510929681327,379.30155385830915,982.4851198314459,649.2578351329997,665.3189360021069,583.8777982617856,352.8575190940216,273.3631814590466,187.54174348169607,66.19120358177508,4312
2021/4/12,182.084728545092,401.99631287858836,1041.2701757026223,688.1048948417923,705.1269799465744,618.8129726475789,373.9700515444524,289.7193272884608,198.76293314270666,70.15162346213177,4570
2021/4/13,188.73859061665223,416.6863313141954,1079.3209676812521,713.2500846532977,730.8942021896986,641.4260506414839,387.63591557244445,300.3064449377328,206.026261334136,72.71515105910682,4737
2021/4/14,186.36705851274598,428.8021727644961,1044.445218597279,705.5098732003698,751.7857614581958,650.705322942808,389.0017500990622,332.9336943600581,215.26974640073968,78.17940166424515,4783
2021/4/15,190.49729229956412,438.3052106723022,1067.5920287940826,721.1452582221635,768.4467045304451,665.1261392154273,397.6227380795139,340.31211200634,220.04051644432704,79.91199973583412,4889
2021/4/16,185.19812442213708,426.112633733985,1037.8942345793157,701.0847642319377,747.0704002113328,646.6239598467838,386.56184784044376,330.84546295073307,213.91952846387534,77.68904371945582,4753
2021/4/17,174.52185972790912,401.5481772553164,978.0619138819178,660.6687689869239,704.0034341566504,609.3475102364284,364.2774072117289,311.7729494122309,201.5875379738476,73.21044115704663,4479
2021/4/18,174.52185972790912,401.5481772553164,978.0619138819178,660.6687689869239,704.0034341566504,609.3475102364284,364.2774072117289,311.7729494122309,201.5875379738476,73.21044115704663,4479
2021/4/19,178.65209351472723,411.0512151631225,1001.2087240787214,676.3041540087175,720.6643772288998,623.7683265090477,372.89839519218066,319.15136705851273,206.35830801743495,74.94303922863558,4585
2021/4/20,182.23682472592787,419.29913485669005,1021.2984084004754,689.8744881785761,735.1248183859464,636.2845066701889,380.38076211861045,325.55527671377627,210.49897635715232,76.4468035926562,4677
2021/4/21,195.33419395465995,422.8464105793451,1045.105919395466,753.3887279596978,770.0064861460958,628.7555415617128,397.0133501259446,316.9459697732998,198.05346347607053,70.54993702770781,4798
2021/4/22,200.30100755667507,433.59823677581863,1071.6801007556676,772.545340050378,789.5856423173803,644.7430730478588,407.10831234256926,325.00503778337537,203.08942065491183,72.34382871536523,4920
2021/4/23,191.01876574307306,413.5046599496222,1022.0168765743073,736.7444584382872,752.9950881612091,614.8647355163728,388.24231738035263,309.94382871536527,193.677959697733,68.99130982367758,4692
2021/4/24,187.31401133501262,405.48485516372796,1002.1951511335012,722.4555100755668,738.3909634760706,602.9396095717883,380.71246851385393,303.932556675063,189.92163098236776,67.65324307304786,4601
2021/4/25,184.2199307304786,398.7869962216625,985.6407430730478,710.5218828715366,726.1941120906802,592.9801637279596,374.42380352644835,298.912153652393,186.7844773299748,66.53573677581863,4525
2021/4/26,184.2199307304786,398.7869962216625,985.6407430730478,710.5218828715366,726.1941120906802,592.9801637279596,374.42380352644835,298.912153652393,186.7844773299748,66.53573677581863,4525
2021/4/27,192.24011335012597,416.1485516372796,1028.5515113350125,741.4551007556676,757.8096347607053,618.7960957178841,390.72468513853903,311.92556675062974,194.91630982367758,69.43243073047859,4722
2021/4/28,191.202420489727,451.6103574444131,1233.2777934140163,785.5121868843231,795.124064171123,697.6744159864902,431.0557275541796,354.16070925978045,228.91055446101885,85.47177033492822,5254
2021/4/29,209.43470306783001,494.67407824373765,1350.8781311567689,860.4154235857023,870.9438502673797,764.2018012946805,472.15944272445824,387.9320292710386,250.73853081902615,93.62200956937798,5755
2021/4/30,223.7730650154799,528.5405572755418,1443.3622291021672,919.3213622291022,930.5705882352942,816.5207430340556,504.48452012383905,414.4907120743034,267.9046439628483,100.03157894736842,6149
2021/5/1,228.21286236982831,539.0271320011258,1471.9994370954123,937.5612721643682,949.0336898395722,832.7210244863495,514.4938080495356,422.7144666479032,273.22003940332115,102.01626794258372,6271
2021/5/2,221.5895581198987,523.3832254432873,1429.278356318604,910.3509147199551,921.4903743315508,808.5533915001407,499.561919504644,410.44624261187727,265.2905150576977,99.0555023923445,6089
2021/5/3,214.38398536448074,506.3640303968477,1382.8015761328454,880.7484379397692,891.5256684491978,782.2611314382211,483.3173374613003,397.0994933858711,256.6638896707008,95.83444976076554,5891
2021/5/4,203.90315226569098,481.6088376020264,1315.1989867717423,837.6902898958627,847.94064171123,744.0178440754291,459.6888544891641,377.68603996622574,244.11607092597802,91.14928229665071,5603
2021/5/5,222.08031496062992,509.8179030252797,1288.0369664318275,786.5885619560713,755.5636966431829,646.1830087028595,408.0852051388313,331.7496062992126,194.37438872772483,80.52034811438044,5223
2021/5/6,206.6031496062992,474.2878021826219,1198.271418704241,731.7698300870286,702.9071418704242,601.1493852742091,379.6450338444536,308.6293963254593,180.82809780356405,74.90874430169913,4859
2021/5/7,193.6771653543307,444.6143113689736,1123.30238983285,685.9871529216742,658.930238983285,563.5388865865451,355.892802873325,289.32020997375326,169.5147119767924,70.22213012847078,4555
2021/5/8,183.98267716535432,422.3591932587374,1067.0756181793065,651.6501450476585,625.9475618179307,535.331012570797,338.0786296449786,274.83832020997374,161.02967260671366,66.70716949854952,4327
2021/5/9,177.56220472440944,407.6200580190634,1029.8377123912144,628.9094073767095,604.1037712391214,516.6494819726481,326.28064649813507,265.24724409448817,155.4101947782843,64.37927890592623,4176
2021/5/10,180.11338582677166,413.4766680480729,1044.6342312474098,637.9454620803979,612.783423124741,524.0726067136345,330.9685868213842,269.05826771653545,157.64309987567344,65.30426854537919,4236
2021/5/11,180.11338582677166,413.4766680480729,1044.6342312474098,637.9454620803979,612.783423124741,524.0726067136345,330.9685868213842,269.05826771653545,157.64309987567344,65.30426854537919,4236
2021/5/12,188.48930526745332,365.6440643384228,929.0129901043969,608.0074472064475,614.3044173156052,523.2082497364572,344.5142313054715,282.6639915666338,184.9909885401435,74.16431461896828,4115
2021/5/13,177.35858809127078,344.0519604175877,874.1526847349271,572.1032407249975,578.0283605944163,492.3116264834903,324.16989152242667,265.9720474716904,174.06685483048253,69.78474512871085,3872
2021/5/14,165.54078960791648,321.12701057571326,815.9059407624035,533.9827252014827,539.5130411126603,459.50780426429077,302.56972829598396,248.24973645730606,162.46839187948447,65.13483184275853,3614
