Infection,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/4/24,196.63095973573678,425.6535624905856,1052.0440676348235,758.390252283155,775.1183308376259,632.929663124622,399.6490040104534,319.0500800661839,199.36828168101383,71.01829713579974,4829.852499
2021/4/25,187.1548173052897,405.14024256574305,1001.3434076705289,721.8415111380353,737.7634213496221,602.4271845511335,380.3889094186398,303.6742511264484,189.76022079445843,67.59574608010075,4597.089712
2021/4/26,181.02064784348238,391.86140240828087,968.5234661880982,698.1824986817065,713.5825537960013,582.6820853244961,367.92131673060453,293.72105117991185,183.54065686218513,65.38023398523299,4446.415913
2021/4/27,181.01438558718516,391.847846294301,968.4899609374686,698.1583456483313,713.5578680107369,582.6619279302896,367.90858880365244,293.71089014842573,183.53430742830605,65.37797221130353,4446.262093
2021/4/28,168.27636795426403,397.46019159499014,1085.4020949254152,691.3256508685619,699.7850197139038,614.0200340357444,379.3701566795666,311.69520591683084,201.46312265522096,75.22331065550239,4624.021155
2021/4/29,181.21780458111456,428.027204323839,1168.8758624953562,744.4926356804955,753.6025794529412,661.241764898452,408.54593994891644,335.66638976934985,216.95681476532508,81.00842308421052,4979.635419
2021/4/30,199.63739787897552,471.53334348212775,1287.6843761103294,820.1653963906558,830.2013057967914,728.4526242792006,450.0719372136223,369.784661964537,239.00904247227695,89.24239441148325,5485.78248
2021/5/1,218.05722437537293,515.0400334434562,1406.4943938829158,895.8391151446102,906.8010019074866,795.664334573093,491.5984602120743,403.90336610906274,261.06154936819587,97.47646998373204,5991.935949
2021/5/2,228.75802097469744,540.3147687987052,1475.5157733402757,939.8009338109767,951.300756984492,834.710242040698,515.7228392430341,423.72425385491135,273.8727118861807,102.2599660660287,6285.980267
2021/5/3,228.25445133453422,539.1253630128905,1472.2676907424711,937.7321310820153,949.2066394631016,832.8727775687024,514.5875681671827,422.7915011184914,273.269830368027,102.03485914258373,6272.142812
2021/5/4,218.53886927723053,516.1776541165212,1409.601059375176,897.8178450121026,908.8039443957219,797.4217983371798,492.684303126935,404.7955080579792,261.6381822437377,97.69177605741626,6005.17094
2021/5/5,237.87672185196848,546.0808695925956,1379.6540735871804,842.538018723249,809.3063779187181,692.1455233613482,437.1120009079707,355.346707951706,208.2000937846664,86.24770032059676,5594.508088
